travel|путешествовать
journey|путешествие
arrive|прибывать
leave|уезжать
country|страна
airport|аэропорт
hotel|отель
ticket|билет
holiday|отпуск
weather|погода
language|язык
question|вопрос
answer|ответ
problem|проблема
solution|решение
important|важный
different|разный
beautiful|красивый
interesting|интересный
healthy|здоровый
exercise|упражнение
history|история
future|будущее
market|рынок
customer|клиент
approach|подход
appropriate|подходящий
assume|предполагать
aware|осведомлённый
capacity|способность
circumstance|обстоятельство
complex|сложный
concept|концепция
conclude|заключать
consistent|последовательный
contemporary|современный
contribute|вносить вклад
crucial|решающий
demonstrate|демонстрировать
distinct|отчётливый
distribute|распределять
efficient|эффективный
emphasise|подчёркивать
enhance|улучшать
essential|существенный
establish|устанавливать
evaluate|оценивать
eventually|в конце концов
exceed|превышать
extend|расширять
external|внешний
factor|фактор
flexible|гибкий
found|основывать
framework|структура
generate|порождать
genuine|подлинный
guarantee|гарантировать
identify|определять
impact|воздействие
implement|внедрять
imply|подразумевать
initial|первоначальный
initiative|инициатива
insight|понимание
instance|пример
interpret|толковать
justify|оправдывать
maintain|поддерживать
massive|огромный
mature|зрелый
mutual|взаимный
negotiate|вести переговоры
objective|цель
obtain|получать
obvious|очевидный
occur|происходить
overall|общий
participate|участвовать
perceive|воспринимать
persuade|убеждать
phenomenon|явление
potential|потенциал
precise|точный
predict|предсказывать
previous|предыдущий
principle|принцип
priority|приоритет
promote|продвигать
reflect|отражать
relevant|уместный
reliable|надёжный
represent|представлять
reveal|раскрывать
significant|значительный
substantial|значительный
sufficient|достаточный
transform|преобразовывать
ultimate|окончательный
virtual|виртуальный
# --- CEFR-J + AI-перевод ---
abandoned|заброшенный
abnormally|ненормально
abolish|отменять
aboriginal|коренной
abruptly|резко
absentee|отсутствующий
absurd|абсурдный
abuse|злоупотребление
accessibility|доступность
accommodation|жильё
accordingly|соответственно
accumulate|накапливать
accusation|обвинение
achievable|достижимый
acid|кислота
acquisition|приобретение
actively|активно
actual|реальный
acute|острый
adaptable|адаптируемый
addict|зависимый
addicted|зависимый
addiction|зависимость
additionally|кроме того
adequate|достаточный
adequately|достаточно
adjustment|корректировка
administrative|административный
admirable|восхитительный
admiringly|восхищённо
admittedly|признанно
adopted|усыновлённый
adoption|усыновление
adore|обожать
adorn|украшать
advancement|продвижение
advent|появление
adventurous|авантюрный
adversely|негативно
adversity|невзгода
affectionate|нежный
affectionately|нежно
affordable|доступный
ageless|вечный
aggressively|агрессивно
agonize|мучиться
agony|агония
aircraft|воздушное судно
aircrew|экипаж самолёта
alcoholism|алкоголизм
alert|предупреждать
allegation|обвинение
alliance|союз
ally|союзник
alphabetical|алфавитный
altar|алтарь
alter|изменять
alternate|чередовать
altitude|высота
aluminum|алюминий
amaze|изумлять
amazement|изумление
amazingly|удивительно
ambassador|посол
ambiguity|неоднозначность
ammonia|аммиак
ample|достаточный
amplifier|усилитель
amplify|усиливать
amuse|развлекать
analogy|аналогия
analyst|аналитик
anchor|якорь
anchorage|якорная стоянка
anchorman|ведущий
anchorperson|ведущий
anguish|мука
animate|оживлять
anonymous|анонимный
antiaircraft|зенитный
antibacterial|антибактериальный
anticancer|противораковый
anticipate|ожидать
anticipation|ожидание
antipollution|антизагрязняющий
antistatic|антистатический
antivirus|антивирус
apostrophe|апостроф
applicant|претендент
appreciative|благодарный
appropriately|подходящим образом
approximate|приблизительный
arch|арка
archaeologist|археолог
