ubiquitous|вездесущий
meticulous|дотошный, скрупулёзный
nuance|нюанс, тонкость
inherent|присущий, врождённый
profound|глубокий
albeit|хотя и
notwithstanding|несмотря на
juxtapose|сопоставлять
ephemeral|мимолётный
pervasive|всепроникающий
eloquent|красноречивый
tenuous|шаткий, слабый
quintessential|типичный, образцовый
pragmatic|прагматичный
discern|различать, распознавать
salient|заметный, важный
inadvertent|непреднамеренный
cumbersome|громоздкий
succinct|краткий, лаконичный
arbitrary|произвольный
vindicate|оправдывать, подтверждать правоту
staunch|стойкий, непоколебимый
esoteric|эзотерический, малопонятный
scrupulous|щепетильный, добросовестный
acumen|проницательность
admonish|увещевать
aberration|отклонение
alacrity|рвение, готовность
ameliorate|улучшать
antithesis|антитеза
arcane|тайный, малопонятный
austere|строгий, суровый
banal|банальный
cacophony|какофония
capricious|капризный
circumspect|осмотрительный
cogent|убедительный
connoisseur|знаток
conundrum|головоломка
deference|почтение
deleterious|вредный
denigrate|очернять
disparate|несопоставимый
ebullient|жизнерадостный
egregious|вопиющий
enervate|обессиливать
equanimity|невозмутимость
fastidious|привередливый
garrulous|болтливый
hackneyed|избитый
iconoclast|бунтарь, ниспровергатель
idiosyncrasy|особенность, причуда
inchoate|зачаточный
ineffable|невыразимый
insidious|коварный
intransigent|непримиримый
juxtaposition|сопоставление
laconic|немногословный
magnanimous|великодушный
mellifluous|сладкозвучный
obfuscate|запутывать
ostensible|мнимый, показной
panacea|панацея
paradigm|парадигма
perfunctory|поверхностный
pernicious|пагубный
pragmatism|прагматизм
sagacious|проницательный
sanguine|оптимистичный
serendipity|счастливая случайность
sycophant|льстец
taciturn|молчаливый
vicissitude|превратность
zealous|ревностный

# --- CEFR-J + AI-перевод ---
abhor|питать отвращение
abhorrent|отвратительный
abhorrently|отвратительно
abject|жалкий
abundantly|обильно
accountability|ответственность
accrue|накапливаться
acreage|площадь
acrobatic|акробатический
acrobatically|акробатически
acrobatics|акробатика
ad-lib|импровизировать
additive|добавка
adept|искусный
adhere|придерживаться
adhesion|сцепление
adornment|украшение
adulterate|фальсифицировать
affectation|жеманство
aghast|потрясённый
agile|проворный
agility|проворность
all-encompassing|всеобъемлющий
allegorical|аллегорический
allegory|аллегория
allot|выделять
allotment|надел
allude|намекать
allusion|намёк
amorphous|аморфный
amorphously|аморфно
anarchic|анархический
angst|тревога
angsty|тревожный
angular|угловатый
angularity|угловатость
annex|пристройка
anonymity|анонимность
antediluvian|допотопный
anthology|антология
anthropological|антропологический
anthropologically|антропологически
anticlimactically|разочаровывающе
antidote|противоядие
antithetical|противоположный
apostle|апостол
apprehend|понимать
aptitude|способность
arcanely|таинственно
archetypal|архетипический
archetype|архетип
archival|архивный
ardor|пыл
arduous|трудный
arduously|с трудом
armory|арсенал
articulation|артикуляция
artifact|артефакт
artifice|хитрость
assimilate|усваивать
assimilation|усвоение
astringent|вяжущее средство
athleticism|атлетизм
attributive|атрибутивный
attrition|истощение
attuned|настроенный
austerely|строго
austerity|аскетизм
authenticity|подлинность
automate|автоматизировать
autonomous|автономный
autonomously|автономно
autopilot|автопилот
averse|противящийся
avian|птичий
axiom|аксиома
axiomatic|аксиоматичный
babble|болтать
banish|изгонять
banishment|изгнание
baroque|барочный
bauble|безделушка
behest|повеление
belligerence|агрессивность
belligerent|агрессивный
beneficiary|бенефициар
bereft|лишённый
bereftly|безутешно
besiege|осаждать
blandishment|лесть
blight|напасть
blitz|атаковать
blubber|жир
blubbery|жирный
blurb|аннотация
bogus|поддельный
bout|приступ
brandish|размахивать
breadwinner|кормилец
brevity|краткость
brim|быть полным
brimstone|сера
brink|край
brood|размышлять
brouhaha|шумиха
buccaneer|пиратствовать
buffoonery|буффонада
burgeoning|стремительно растущий
buzzard|сарыч
caffeinate|добавлять кофеин
calamitous|катастрофический
calamitously|катастрофически
calamity|бедствие
callous|бессердечный
callously|бессердечно
calorific|калорийный
capacious|вместительный
carbonize|карбонизировать
catastrophically|катастрофически
cay|риф
centralized|централизованный
choreographical|хореографический
choreography|хореография
chronologically|хронологически
chronology|хронология
chrysalis|куколка
cinematographer|оператор
cinematography|кинематография
circumnavigate|огибать
circumnavigation|кругосветное плавание
clinch|закреплять
cloister|монастырь
cloistered|уединённый
coax|уговаривать
cocoon|окутывать
cogently|убедительно
cognitive|когнитивный
collide|сталкиваться
collider|коллайдер
colloquial|разговорный
colloquially|разговорно
colloquium|коллоквиум
combustion|горение
commensurate|соразмерный
commensurately|соразмерно
commode|комод
compellingly|убедительно
computerize|компьютеризировать
conciliation|примирение
conciliatory|примирительный
concurrence|совпадение
condensation|конденсация
condone|прощать
conduit|канал
confabulate|конфабулировать
confabulation|конфабуляция
confection|кондитерское изделие
confrontational|конфронтационный
confrontationally|вызывающе
conglomerate|конгломерат
conjecture|предполагать
connotation|коннотация
connote|подразумевать
consign|отправлять
consignment|партия товара
consternation|растерянность
constrained|скованный
contagion|зараза
contemptuous|презрительный
contemptuously|презрительно
contractual|договорной
contractually|по договору
contraption|приспособление
contrive|придумывать
cordon|оцеплять
corpus|корпус
correlate|коррелят
correlation|корреляция
cosmic|космический
cosset|баловать
counsel|совет
counterproductive|контрпродуктивный
counterproductively|контрпродуктивно
crippling|парализующий
crony|дружок
crystallization|кристаллизация
cull|отбирать
cultish|культовый
curate|курировать
curator|куратор
dampen|заглушать
deaden|притуплять
decentralize|децентрализовать
declination|склонение
deficient|недостаточный
deficiently|недостаточно
delicatessen|гастроном
demystification|развенчание
demystify|развенчивать
denotation|обозначение
denote|обозначать
denounce|осуждать
denunciation|осуждение
depraved|развращённый
depravity|развращённость
deprecate|осуждать
deprecatingly|пренебрежительно
depressive|депрессивный
derelict|заброшенный
derision|насмешка
derisive|насмешливый
derisively|насмешливо
deterrent|сдерживающий фактор
detract|умалять
deviant|отклоняющийся тип
deviantly|девиантно
diffuse|размытый
diligently|усердно
disdainful|презрительный
disparage|умалять
disparagement|пренебрежение
disparaging|пренебрежительный
disparagingly|пренебрежительно
dispersal|рассеивание
disperse|рассеивать
dissemble|притворяться
disseminate|распространять
dissemination|распространение
dissension|разногласие
distill|перегонять
distillation|перегонка
divination|гадание
domesticity|домашний уклад
drabness|серость
dribble|капать
drudgery|изнурительный труд
dubiously|сомнительно
dwarfism|карликовость
ebb|убывать
eccentricity|эксцентричность
echo|эхо
echolocate|использовать эхолокацию
echolocation|эхолокация
economize|экономить
ecotourism|экотуризм
edification|просвещение
edifice|здание
edify|просвещать
egalitarian|эгалитарный
elasticity|эластичность
elated|ликующий
elation|ликование
electrode|электрод
elephantine|слоновий
embed|внедрять
embodiment|воплощение
embody|воплощать
eminence|известность
eminent|выдающийся
emolument|вознаграждение
emulate|подражать
emulation|подражание
emulsification|эмульгирование
emulsifier|эмульгатор
emulsify|эмульгировать
enabler|пособник
encompass|охватывать
encumber|обременять
encumbrance|обуза
enduringly|неизменно
engender|порождать
enthuse|восхищаться
ephemera|эфемера
ephemerality|эфемерность
epoxy|эпоксидная смола
equable|ровный
equilibrium|равновесие
etch|травить
etching|офорт
ethos|этос
euphemism|эвфемизм
euphemistic|эвфемистический
euphemistically|эвфемистически
euphoria|эйфория
euphoric|эйфорический
euphorically|в эйфории
evokingly|выразительно
exalted|возвышенный
exaltedly|возвышенно
exorcism|экзорцизм
exorcist|экзорцист
extant|сохранившийся
extracurricular|внеклассный
exude|источать
fabled|легендарный
fabricate|фабриковать
fabrication|фабрикация
fabulate|сочинять
fabulation|фабуляция
facsimile|факсимиле
fallacy|заблуждение
farcical|фарсовый
feign|притворяться
ferocity|свирепость
fete|праздник
figuratively|образно
flagging|ослабевающий
flatout|напрямую
flightiness|ветреность
flighty|ветреный
flit|порхать
floe|льдина
floodgates|шлюзные ворота
fluctuate|колебаться
fluctuation|колебание
forfeiture|конфискация
forlorn|заброшенный
forlornly|уныло
formidably|грозно
fractious|раздражительный
frolic|резвиться
fruition|осуществление
gale|шторм
gambit|гамбит
gauche|неловкий
genomic|геномный
genomically|геномно
glitz|блеск
glitzy|блестящий
gout|подагра
gravitate|тяготеть
gravitational|гравитационный
gravitationally|гравитационно
grievance|жалоба
habitation|жильё
hamper|мешать
haphazard|беспорядочный
haphazardly|беспорядочно
hapless|несчастный
happenstance|случайность
haughtily|высокомерно
haughty|высокомерный
hauntingly|неотступно
headmistress|директриса
helm|штурвал
herald|возвещать
hermetic|герметичный
hermit|отшельник
hinder|мешать
hindrance|помеха
hindsight|ретроспективный взгляд
histrionic|театральный
histrionically|театрально
hitch|прицеплять
hitherto|до сих пор
hoist|поднимать
homestead|усадьба
hotelier|владелец отеля
huddle|сбиваться в кучу
hull|корпус
hypnotherapy|гипнотерапия
hypothesize|выдвигать гипотезу
hypothetical|гипотетический
hysteria|истерия
hysterical|истерический
hysterically|истерически
idiomatic|идиоматический
idiomatically|идиоматически
idiosyncratic|своеобразный
ignominious|позорный
ignominiously|позорно
impeccable|безупречный
impeccably|безупречно
imperceptible|незаметный
imperceptibly|незаметно
imposition|навязывание
impresario|импресарио
impressionistic|импрессионистический
impressionistically|импрессионистически
improvisational|импровизационный
inartistic|нехудожественный
inchoately|смутно
incipient|начинающийся
incise|вырезать
incongruity|несоответствие
incongruous|неуместный
incongruously|неуместно
incumbent|действующий руководитель
indignant|возмущённый
indignantly|возмущённо
indiscrete|нескромный
indiscretion|нескромность
individualism|индивидуализм
indolence|праздность
indolent|праздный
indolently|лениво
induce|побуждать
inducement|побуждение
indulgence|снисхождение
indulgently|снисходительно
inexorability|неумолимость
inexorable|неумолимый
inexorably|неумолимо
infallibility|непогрешимость
infallible|непогрешимый
infallibly|безошибочно
infernal|адский
infernally|адски
informant|информатор
ingenuous|простодушный
ingenuously|простодушно
ingrate|неблагодарный
ingratiate|втираться в доверие
ingratiating|вкрадчивый
ingratiatingly|вкрадчиво
innuendo|намёк
inscrutable|непроницаемый
instantaneous|мгновенный
instantaneously|мгновенно
insular|замкнутый
integration|интеграция
interlocking|взаимосвязанный
interlude|интерлюдия
intermediary|посредник
interrogate|допрашивать
interrogation|допрос
interrogative|вопросительный
interrogatively|вопросительно
intersperse|перемежать
interweave|переплетать
intrinsically|по существу
ironic|иронический
irrelevancy|нерелевантность
irrevocable|безвозвратный
irrevocably|безвозвратно
jargon|жаргон
jarring|резкий
kinetic|кинетический
kinetically|кинетически
knack|способность
lament|сожалеть
lamentation|скорбь
laryngitis|ларингит
lassitude|усталость
laud|восхвалять
laudatory|хвалебный
leaven|оживлять
leavening|закваска
legion|легион
liaise|поддерживать связь
locomotion|передвижение
locomotive|локомотив
loiter|слоняться
lurid|жуткий
luridly|жутко
lyrical|лирический
lyrically|лирически
lyricist|поэт-песенник
maelstrom|водоворот
maggot|личинка
magnanimity|великодушие
magnanimously|великодушно
magnate|магнат
magpie|сорока
malice|злоба
malicious|злобный
maliciously|злобно
malleability|пластичность
malleable|податливый
mangle|калечить
mariner|моряк
marketability|товарность
materialism|материализм
materialistic|материалистический
materialization|материализация
materialize|материализоваться
maverick|нонконформист
meager|скудный
mediate|посредничать
mediation|посредничество
mediocrity|посредственность
melancholy|меланхолия
melodious|мелодичный
melodiously|мелодично
menace|угроза
menacing|угрожающий
menacingly|угрожающе
menial|низший
mercantile|торговый
mercenary|наёмник
merit|достоинство
mesh|сцепляться
mesmeric|гипнотический
metalled|мощёный
meteorological|метеорологический
meteorology|метеорология
methodological|методологический
methodologically|методологически
methodology|методология
meticulously|тщательно
midwifery|акушерство
mien|вид
milieu|среда
minefield|минное поле
minster|служить
misdemeanor|проступок
modernism|модернизм
monastic|монашеский
moor|пустошь
moribund|умирающий
mottled|пятнистый
mundanity|обыденность
munificence|щедрость
muscle-bound|скованный мышцами
mutinous|мятежный
mutinously|мятежно
myriad|бесчисленный
mystique|ореол таинственности
nascent|зарождающийся
neophyte|неофит
nigh|почти
nonchalant|безразличный
nonchalantly|безразлично
nostalgia|ностальгия
nostalgic|ностальгический
nostalgically|ностальгически
notoriety|дурная слава
notoriously|печально известно
oblique|косвенный
octogenarian|восьмидесятилетний
opacity|непрозрачность
opaque|непрозрачный
opulence|роскошь
opulent|роскошный
opulently|роскошно
ordain|предписывать
ore|руда
ornate|украшенный
ostensibly|якобы
outmoded|устаревший
overlay|покрывать
painstaking|тщательный
painstakingly|тщательно
palatable|приятный на вкус
palate|нёбо
parable|притча
paradoxical|парадоксальный
paradoxically|парадоксально
paralyzingly|парализующе
parameter|параметр
parasitic|паразитический
parochial|ограниченный
patchily|неравномерно
patchy|неравномерный
patronize|покровительствовать
patronizing|снисходительный
patronizingly|снисходительно
pedestal|пьедестал
perch|сидеть
pervasiveness|повсеместность
perverse|извращённый
perversity|извращённость
philanthropic|благотворительный
philanthropically|благотворительно
philanthropist|филантроп
philanthropy|филантропия
philistine|филистер
physiological|физиологический
physiologically|физиологически
plumage|оперение
plume|перо
plutocrat|плутократ
polysyllabic|многосложный
ponderous|тяжеловесный
ponderously|тяжеловесно
porten|предзнаменование
portraiture|портретная живопись
posit|постулировать
posterity|потомство
postural|постуральный
posturing|позёрство
practitioner|практик
precocious|не по годам развитый
precociously|не по годам
preconception|предвзятое мнение
predilection|пристрастие
preeminent|выдающийся
preoccupation|озабоченность
prescriptive|предписывающий
presentational|презентационный
preservationist|защитник природы
pressurization|герметизация
pressurize|давить
presuppose|предполагать
presupposition|предположение
primeval|первобытный
prise|вскрывать
prissy|жеманный
procedural|процедурный
profitability|рентабельность
proliferation|распространение
prolong|продлевать
promenade|набережная
promotable|перспективный
prone|склонный
proportional|пропорциональный
proportionally|пропорционально
proposition|предложение
proprietary|фирменный
proprietorial|собственнический
proscribe|запрещать
proscription|запрет
prostrate|повергать ниц
protrude|выступать
protrusion|выступ
proverbial|пресловутый
provincial|провинциальный
provocation|провокация
proximal|проксимальный
prurience|похотливость
prurient|похотливый
punitive|карательный
punitively|карательно
puritanical|пуританский
pyre|погребальный костёр
qualitative|качественный
qualm|сомнение
quiver|дрожать
rapture|восторг
rapturous|восторженный
rapturously|восторженно
ravish|восхищать
rebound|отскакивать
rebuke|упрекать
recitation|декламация
recluse|затворник
reclusive|замкнутый
reconciliation|примирение
recourse|прибегание
recumbent|лежачий
recuperate|восстанавливаться
recuperation|восстановление
recuperative|восстановительный
redundancy|избыточность
redundantly|избыточно
regulatory|регулирующий
reissue|переиздавать
relegate|низводить
remit|переводить
remittance|денежный перевод
remonstrance|протест
remorseful|раскаивающийся
repose|отдыхать
reproach|упрекать
reptilian|пресмыкающийся
requisition|реквизиция
residual|остаточный
residue|остаток
resound|звучать
resounding|громкий
resoundingly|громко
resuscitate|реанимировать
resuscitation|реанимация
retrospection|ретроспекция
retrospective|ретроспективный
revelatory|откровенный
reverb|реверберация
reverberate|отдаваться
reverberation|эхо
revile|поносить
revulsion|отвращение
rhetoric|риторика
rhetorical|риторический
rhetorically|риторически
rickety|шаткий
rife|распространённый
rift|раскол
romp|резвиться
romper|комбинезон
ruminant|жвачный
ruminate|размышлять
rumination|размышление
ruminative|задумчивый
salivary|слюнной
sandwiched|зажатый
scavenger|падальщик
scholarly|учёный
scroll|свиток
secular|светский
secularly|светски
seedy|захудалый
